# ./bin/go-tpc tpcc -H 127.0.0.1 -P 4000 -D tpcc --warehouses 10 run                                                     
[Current] DELIVERY - Takes(s): 8.8, Count: 13, TPM: 88.9, Sum(ms): 1169, Avg(ms): 89, 90th(ms): 96, 99th(ms): 112, 99.9th(ms): 112                            
[Current] NEW_ORDER - Takes(s): 9.9, Count: 171, TPM: 1033.9, Sum(ms): 5077, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 48                          
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 18, TPM: 111.4, Sum(ms): 105, Avg(ms): 5, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8                              
[Current] PAYMENT - Takes(s): 10.0, Count: 157, TPM: 946.1, Sum(ms): 3213, Avg(ms): 20, 90th(ms): 24, 99th(ms): 32, 99.9th(ms): 32                            
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 13, TPM: 80.4, Sum(ms): 214, Avg(ms): 16, 90th(ms): 24, 99th(ms): 24, 99.9th(ms): 24                            
[Current] DELIVERY - Takes(s): 9.8, Count: 22, TPM: 134.2, Sum(ms): 1957, Avg(ms): 88, 90th(ms): 96, 99th(ms): 96, 99.9th(ms): 96                             
[Current] NEW_ORDER - Takes(s): 10.0, Count: 145, TPM: 871.4, Sum(ms): 4266, Avg(ms): 29, 90th(ms): 40, 99th(ms): 40, 99.9th(ms): 40                          
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 17, TPM: 104.3, Sum(ms): 97, Avg(ms): 5, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8                               
[Current] PAYMENT - Takes(s): 9.8, Count: 161, TPM: 984.2, Sum(ms): 3360, Avg(ms): 20, 90th(ms): 24, 99th(ms): 40, 99.9th(ms): 40                             
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 14, TPM: 86.0, Sum(ms): 155, Avg(ms): 11, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16                            
[Current] DELIVERY - Takes(s): 9.3, Count: 18, TPM: 115.8, Sum(ms): 1691, Avg(ms): 93, 90th(ms): 128, 99th(ms): 128, 99.9th(ms): 128                          
[Current] NEW_ORDER - Takes(s): 10.0, Count: 148, TPM: 890.4, Sum(ms): 4656, Avg(ms): 31, 90th(ms): 40, 99th(ms): 64, 99.9th(ms): 64                          
[Current] ORDER_STATUS - Takes(s): 9.0, Count: 8, TPM: 53.3, Sum(ms): 48, Avg(ms): 6, 90th(ms): 9, 99th(ms): 9, 99.9th(ms): 9                                 
[Current] PAYMENT - Takes(s): 9.9, Count: 152, TPM: 922.1, Sum(ms): 3274, Avg(ms): 21, 90th(ms): 32, 99th(ms): 40, 99.9th(ms): 40                             
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 9, TPM: 56.2, Sum(ms): 101, Avg(ms): 11, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16                             
[Current] DELIVERY - Takes(s): 9.9, Count: 5, TPM: 30.2, Sum(ms): 551, Avg(ms): 110, 90th(ms): 128, 99th(ms): 128, 99.9th(ms): 128
[Current] NEW_ORDER - Takes(s): 10.0, Count: 148, TPM: 890.4, Sum(ms): 4656, Avg(ms): 31, 90th(ms): 40, 99th(ms): 64, 99.9th(ms): 64                          
[Current] ORDER_STATUS - Takes(s): 9.0, Count: 8, TPM: 53.3, Sum(ms): 48, Avg(ms): 6, 90th(ms): 9, 99th(ms): 9, 99.9th(ms): 9                                 
[Current] PAYMENT - Takes(s): 9.9, Count: 152, TPM: 922.1, Sum(ms): 3274, Avg(ms): 21, 90th(ms): 32, 99th(ms): 40, 99.9th(ms): 40                             
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 9, TPM: 56.2, Sum(ms): 101, Avg(ms): 11, 90th(ms): 16, 99th(ms): 16, 99.9th(ms): 16                             
[Current] DELIVERY - Takes(s): 9.9, Count: 5, TPM: 30.2, Sum(ms): 551, Avg(ms): 110, 90th(ms): 128, 99th(ms): 128, 99.9th(ms): 128                            
[Current] NEW_ORDER - Takes(s): 9.9, Count: 140, TPM: 848.2, Sum(ms): 5078, Avg(ms): 36, 90th(ms): 48, 99th(ms): 64, 99.9th(ms): 64
[Current] ORDER_STATUS - Takes(s): 9.0, Count: 13, TPM: 86.5, Sum(ms): 72, Avg(ms): 5, 90th(ms): 8, 99th(ms): 8, 99.9th(ms): 8
[Current] PAYMENT - Takes(s): 9.9, Count: 158, TPM: 959.4, Sum(ms): 4002, Avg(ms): 25, 90th(ms): 40, 99th(ms): 48, 99.9th(ms): 64
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 18, TPM: 112.3, Sum(ms): 171, Avg(ms): 9, 90th(ms): 12, 99th(ms): 12, 99.9th(ms): 12
